"title_class","total","class_percent","excluded","included","included_percent"
"study",96,0.150470219435737,85,11,0.114583333333333
"tool",103,0.161442006269592,89,14,0.135922330097087
"package",38,0.0595611285266458,38,0,0
"program",21,0.0329153605015674,21,0,0
"server",61,0.0956112852664577,48,13,0.213114754098361
"other",160,0.250783699059561,76,84,0.525
"database",92,0.144200626959248,13,79,0.858695652173913
"base",25,0.0391849529780564,3,22,0.88
"data",28,0.0438871473354232,14,14,0.5
"db",12,0.0188087774294671,2,10,0.833333333333333
"bank",2,0.00313479623824451,0,2,1
